hca_db_vid,hca_db_title,sv_volume,sv_xml_id,sv_xml_id_source,sv_incipit,sv_source_file,match_method,status
2273,"Negerkongens datter (Nøgen, uden guld og brillianter)",SV8,noegen-uden-guld-og-brillanter,derived,"Nøgen, uden Guld og Brillanter,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2274,Rejselængsel (Ned til Rhinen!),SV8,ned-til-rhinen,derived,Ned til Rhinen!,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2276,(Med Billed tæt ved Billed her blev skrevet).,SV8,med-billed-taet-ved-billed-her-blev-skrevet,derived,Med Billed tæt ved Billed her blev skrevet,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2281,Alt farer hen som vinden (Lykke-Peer) (Alt farer hen som vinden),SV8,alt-farer-hen-som-vinden,derived,"Alt farer hen som Vinden,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2282,Korsør (Oppe fra vinduet i Banehotellet),SV8,oppe-fra-vinduet-i-banehotellet,derived,Oppe fra Vinduet i Banehotellet,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2284,"Deres kongelige højheder kronprins Frederik og prinsesse Lovisa, (Fra Nordens ishav ned til Østersøen)",SV8,fra-nordens-ishav-ned-til-oestersoeen,derived,Fra Nordens Ishav ned til Østersøen,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2285,Liden Kirsten og prins Buris (Der var en duft af det friske hø),SV8,der-var-en-duft-af-det-friske-hoe,derived,"Der var en Duft af det friske Hø,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2287,End ligger jorden i sneens svøb  (Lykke-Peer) (End ligger jorden i sneens svøb),SV8,end-ligger-jorden-i-sneens-svoeb,derived,"End ligger Jorden i Sneens Svøb,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2288,Sang ved afsløringen af mindestøtten på Holsteinborg  (Der var en tid - til træl var bonden kåren),SV8,der-var-en-tid-til-trael-var-bonden-kaaren,derived,"Der var en Tid, – til Træl var Bonden kaaren,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2290,Børnenes skål  (Vi har fra Østerland et eventyr),SV8,vi-har-fra-oesterland-et-eventyr,derived,Vi har fra Østerland et Eventyr,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2293,"Hofjuveler Michelsen og hustru, født Hansen  (Sølvbryllupssange VIII) (Sølvbryllupsklokker ringer. Hør!)",SV8,soelvbryllupsklokker-ringe-hoer,derived,Sølvbryllupsklokker ringe. Hør!,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2296,Lille Pouls Tale ved Bedsteforældrenes Sølvbryllupsfest. (Vil De nu være stille i Stuer og Sale).,SV8,vil-de-nu-vaere-stille-i-stuer-og-sale,derived,"Vil De nu være stille i Stuer og Sale,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2299,Stormfloden (Stormen fløj ud med dødsbud og rædsler),SV8,stormen-floei-ud-med-doedsbud-og-raedsler,derived,"Stormen fløi ud med Dødsbud og Rædsler,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2302,"Til J. P. E. Hartmann  (Velan, lad os de gamle minder skue)",SV8,velan-lad-os-de-gamle-minder-skue,derived,"Velan, lad os de gamle Minder skue!",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2303,Oldingen (Foran den store indgang nu jeg står),SV8,foran-den-store-indgang-nu-jeg-staaer,derived,Foran den store Indgang nu jeg staaer,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2304,"Billedstormerne  (Hensvundne tid, i graven lagt)",SV8,hensvundne-tid-i-graven-lagt,derived,"Hensvundne Tid, i Graven lagt,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2307,"Lille Svends udtalelse om vejrliget (Det er et løjerligt vejr, vi har!)",SV8,det-er-et-loejerligt-vejr-vi-har,derived,Det er et løjerligt Vejr vi har!,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2308,Et barns skriftemål (I regning er jeg noget sen),SV8,i-regning-er-jeg-noget-sen,derived,"I Regning er jeg noget sen,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2309,Miraklet (Fra pyramiden i ørkenens sand),SV8,fra-pyramiden-i-oerkenens-sand,derived,Fra Pyramiden i Ørkenens Sand,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
